name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
United States,2024-08-16,30.7,21.3,26.3,31.6,21.3,26.8,17.8,60.6,0.0,0,0.0,,0,0,25.9,21.1,174.5,1016.8,75.8,15.7,162.9,14.0,9,10,2024-08-16T06:23:09,2024-08-16T20:00:52,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-17,29.3,22.0,25.3,32.5,22.0,26.0,20.5,75.4,4.636,100,20.83,rain,0,0,25.9,31.2,162.4,1012.9,84.9,15.8,94.6,8.1,4,30,2024-08-17T06:24:03,2024-08-17T19:59:32,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-18,30.6,22.7,25.7,34.7,22.7,26.6,21.0,76.4,0.0,0,0.0,,0,0,25.9,21.5,178.5,1008.5,64.2,15.6,179.1,15.5,10,30,2024-08-18T06:24:57,2024-08-18T19:58:10,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-19,30.0,23.2,26.0,30.9,23.2,26.3,18.4,64.1,0.272,100,4.17,rain,0,0,53.6,29.4,316.2,1007.5,79.5,15.9,206.8,17.9,9,10,2024-08-19T06:25:52,2024-08-19T19:56:48,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-20,23.7,18.9,21.4,23.7,18.9,21.4,11.5,54.5,0.0,0,0.0,,0,0,40.7,27.4,330.5,1014.7,68.7,16.0,153.8,13.3,10,10,2024-08-20T06:26:46,2024-08-20T19:55:24,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-21,24.9,14.9,20.0,24.9,14.9,20.0,8.1,47.8,0.0,0,0.0,,0,0,40.7,23.6,325.8,1020.1,42.8,16.0,187.7,16.3,8,10,2024-08-21T06:27:40,2024-08-21T19:54:00,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-22,26.0,14.0,20.7,26.0,14.0,20.7,9.1,49.3,0.0,0,0.0,,0,0,31.7,15.6,346.5,1023.2,35.0,16.0,165.3,14.4,9,10,2024-08-22T06:28:34,2024-08-22T19:52:35,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-23,28.3,16.2,22.5,27.4,16.2,22.3,11.3,51.7,0.0,0,0.0,,0,0,13.0,21.1,131.7,1025.4,27.2,15.9,204.7,17.7,9,10,2024-08-23T06:29:28,2024-08-23T19:51:09,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-24,28.9,18.3,23.4,28.5,18.3,23.4,14.6,59.6,0.0,0,0.0,,0,0,20.5,20.6,178.7,1024.5,39.1,16.0,213.8,18.2,9,10,2024-08-24T06:30:22,2024-08-24T19:49:43,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-25,30.7,18.5,24.5,30.8,18.5,24.7,16.0,60.3,0.0,0,0.0,,0,0,20.5,21.4,179.0,1023.4,34.4,15.9,201.7,17.6,8,10,2024-08-25T06:31:16,2024-08-25T19:48:15,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-26,31.2,21.1,25.4,33.6,21.1,26.3,19.4,70.1,3.64,100,8.33,rain,0,0,83.2,46.1,225.6,1020.9,67.5,15.4,139.5,12.1,7,30,2024-08-26T06:32:10,2024-08-26T19:46:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-27,33.3,22.5,27.7,33.7,22.5,27.9,18.9,62.4,0.0,0,0.0,,0,0,18.4,17.0,139.3,1018.8,40.5,15.1,207.7,18.1,8,10,2024-08-27T06:33:04,2024-08-27T19:45:18,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-28,37.8,24.2,30.2,39.7,24.2,31.9,20.4,58.7,0.0,0,0.0,,0,0,38.9,23.1,219.7,1016.2,70.3,16.0,194.8,16.9,7,10,2024-08-28T06:33:58,2024-08-28T19:43:49,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-29,32.8,23.3,28.1,38.1,23.3,30.3,21.8,69.6,12.702,100,25.0,rain,0,0,27.7,23.3,60.8,1019.4,73.9,14.9,133.6,11.5,8,60,2024-08-29T06:34:52,2024-08-29T19:42:19,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-30,23.8,22.2,22.9,23.8,22.2,22.9,20.8,87.6,6.238,100,20.83,rain,0,0,18.4,19.8,60.9,1022.0,99.2,12.8,39.6,3.4,2,10,2024-08-30T06:35:45,2024-08-30T19:40:48,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-08-31,27.3,22.0,24.1,29.5,22.0,24.5,20.3,80.1,0.3,100,12.5,rain,0,0,16.6,17.2,172.9,1018.3,98.2,15.8,94.5,8.1,5,30,2024-08-31T06:36:39,2024-08-31T19:39:17,0.92,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-01,29.3,22.7,25.1,31.6,22.7,25.6,21.1,79.1,0.529,100,16.67,rain,0,0,18.4,21.2,211.4,1013.4,84.8,16.0,126.3,10.9,7,30,2024-09-01T06:37:32,2024-09-01T19:37:45,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-02,27.1,20.3,23.9,26.7,20.3,23.9,14.4,57.6,0.0,0,0.0,,0,0,40.5,24.4,357.6,1017.2,58.4,16.0,198.0,17.3,9,10,2024-09-02T06:38:26,2024-09-02T19:36:13,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-03,24.9,15.9,20.3,24.9,15.9,20.3,7.4,44.8,0.0,0,0.0,,0,0,37.1,22.8,41.9,1026.0,26.9,16.0,197.8,17.2,9,10,2024-09-03T06:39:19,2024-09-03T19:34:40,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-04,25.5,14.6,20.2,25.5,14.6,20.2,11.3,58.3,0.054,100,4.17,rain,0,0,25.9,15.8,64.5,1029.0,71.0,16.0,185.9,16.2,8,10,2024-09-04T06:40:13,2024-09-04T19:33:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-05,26.1,15.9,21.2,26.1,15.9,21.2,13.7,64.0,0.0,0,0.0,,0,0,18.4,14.6,74.4,1026.4,53.3,16.0,180.1,15.5,8,10,2024-09-05T06:41:06,2024-09-05T19:31:33,0.09,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-06,25.7,18.6,21.8,25.7,18.6,21.8,16.4,72.0,0.0,0,0.0,,0,0,16.6,13.2,107.6,1018.7,71.8,16.0,137.1,11.8,7,10,2024-09-06T06:42:00,2024-09-06T19:29:59,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-07,23.8,17.9,20.3,23.8,17.9,20.3,14.9,71.9,0.296,100,8.33,rain,0,0,61.6,29.4,247.2,1012.1,65.8,15.8,69.6,6.2,4,10,2024-09-07T06:42:53,2024-09-07T19:28:25,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-08,23.7,13.5,18.7,23.7,13.5,18.7,5.8,44.6,0.0,0,0.0,,0,0,36.5,21.5,305.3,1018.2,34.8,16.0,198.2,17.2,9,10,2024-09-08T06:43:47,2024-09-08T19:26:50,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-09,26.5,13.3,19.6,26.5,13.3,19.6,7.3,48.0,0.0,0,0.0,,0,0,29.5,17.6,220.1,1020.5,31.4,16.0,197.0,17.0,8,10,2024-09-09T06:44:40,2024-09-09T19:25:15,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-10,29.9,14.8,22.4,28.8,14.8,22.1,11.6,53.6,0.0,0,0.0,,0,0,27.7,17.8,340.5,1019.7,22.7,16.0,197.3,16.9,8,10,2024-09-10T06:45:33,2024-09-10T19:23:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-11,29.3,17.8,23.6,29.1,17.8,23.5,14.9,60.3,0.0,0,0.0,,0,0,18.4,16.0,109.3,1020.9,31.5,15.9,172.3,14.8,9,10,2024-09-11T06:46:27,2024-09-11T19:22:04,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-12,27.8,18.9,23.0,27.2,18.9,22.9,14.5,61.7,0.0,0,0.0,,0,0,20.5,17.8,108.2,1022.6,43.2,15.8,209.1,18.0,8,10,2024-09-12T06:47:20,2024-09-12T19:20:28,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-13,28.3,18.8,23.1,29.1,18.8,23.3,17.6,72.0,0.0,0,0.0,,0,0,33.5,17.4,62.3,1023.0,80.1,15.9,136.4,11.8,9,10,2024-09-13T06:48:14,2024-09-13T19:18:52,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-14,29.3,18.2,23.7,28.9,18.2,23.6,15.2,62.1,0.0,0,0.0,,0,0,33.5,21.7,57.2,1022.9,39.9,15.9,196.0,16.8,8,10,2024-09-14T06:49:07,2024-09-14T19:17:16,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-15,28.4,17.7,22.7,28.2,17.7,22.7,14.9,63.4,0.0,0,0.0,,0,0,41.9,22.6,71.2,1025.0,64.8,16.0,190.3,16.5,8,10,2024-09-15T06:50:01,2024-09-15T19:15:40,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C6294,KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-16,25.9,17.6,21.5,25.9,17.6,21.5,15.1,67.8,0.0,0,0.0,,0,0,33.5,23.0,51.0,1024.0,86.2,16.0,105.4,9.0,4,10,2024-09-16T06:50:55,2024-09-16T19:14:04,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-17,26.6,20.6,22.7,26.6,20.6,22.7,19.2,80.8,2.735,100,25.0,rain,0,0,37.1,25.5,54.9,1019.8,95.5,14.5,87.0,7.3,6,10,2024-09-17T06:51:48,2024-09-17T19:12:27,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-18,24.3,21.1,22.5,24.3,21.1,22.5,19.2,81.8,5.745,100,45.83,rain,0,0,37.1,25.7,49.5,1015.7,96.6,14.0,59.0,5.1,3,10,2024-09-18T06:52:42,2024-09-18T19:10:51,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
United States,2024-09-19,28.7,21.1,24.5,29.3,21.1,24.7,17.6,66.1,0.0,0,0.0,,0,0,18.4,16.3,4.2,1012.8,84.8,16.0,158.3,13.5,6,10,2024-09-19T06:53:36,2024-09-19T19:09:14,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-20,29.8,18.2,23.8,29.7,18.2,23.9,16.6,65.6,0.0,0,0.0,,0,0,16.6,13.2,65.0,1012.9,43.8,16.0,186.8,16.0,8,10,2024-09-20T06:54:30,2024-09-20T19:07:37,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-21,28.1,19.7,23.7,29.3,19.7,23.9,18.4,73.5,0.0,0,0.0,,0,0,20.5,18.7,165.9,1014.4,76.6,16.0,144.5,12.5,8,10,2024-09-21T06:55:24,2024-09-21T19:06:01,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,D6279,72403793728,KADW,KDAA,74594013705"
United States,2024-09-22,24.2,19.9,21.9,24.2,19.9,21.9,17.9,78.2,7.376,100,8.33,rain,0,0,24.1,23.0,92.3,1014.8,95.0,15.5,92.8,7.9,4,10,2024-09-22T06:56:18,2024-09-22T19:04:25,0.66,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KDCA,D6279,KADW,KDAA"
United States,2024-09-23,21.1,17.8,19.6,21.1,17.8,19.6,16.0,80.1,2.065,100,20.83,rain,0,0,24.1,16.4,135.4,1016.0,98.6,14.6,27.5,2.4,1,10,2024-09-23T06:57:13,2024-09-23T19:02:48,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,D6279,KADW,KDAA"
United States,2024-09-24,20.6,17.7,18.9,20.6,17.7,18.9,16.3,85.0,11.202,100,25.0,rain,0,0,27.7,12.8,89.1,1017.8,99.3,14.4,30.7,2.5,2,10,2024-09-24T06:58:07,2024-09-24T19:01:12,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KDCA,D6279,KADW,KDAA"
